agreement_title,agreement_url,agreement_info,category,subcategory,url
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.",Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
2020 Theatrical Adherence Letter,https://www.sagaftra.org/sites/default/files/Independent%28TH%29AdherenceLetter%20%5BSAMPLE%5D.pdf,This is the form a producer signs to producer under the 2020 Theatrical Codified Basic Agreement.,Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
Moderate Low Budget Project Agreement (MPA),https://www.sagaftra.org/sites/default/files/Moderate%20Low%20Budget%20Project%20Agreement%20%28MPA%29%20Rev.%202.21.23%20SAMPLE.pdf,"This is the agreement for independent producers making films under $700,000. Sample PDF",Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,"This memorandum details modifications to the existing Basic Agreement and Television Agreement 
Informational / Guide PDF",Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,Informational / Guide PDF,Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement. Informational / Guide PDF,Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium. Informational / Guide PDF",Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,This is the form a producer signs to produce under the 2020 Codified Basic Agreement Sample PDF,Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
Ultra Low Budget Project Agreement (UPA),https://www.sagaftra.org/sites/default/files/Ultra%20Low%20Budget%20Project%20Agreement%20%28UPA%29%20Rev.%203.21.23%20SAMPLE.pdf,"This is the agreement for independent producers making films under $300,000. Sample PDF",Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement,Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,,Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement.,Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.",Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,This is the form a producer signs to produce under the 2020 Codified Basic Agreement,Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
Short Project Agreement (SPA),https://www.sagaftra.org/sites/default/files/Short%20Project%20Agreement%20%28SPA%29%20Rev.%202.21.23%20SAMPLE.pdf,"This is the Agreement for Short Projects shooting entirely in the US with a maximum total budget of $50,000 and a maximum total run time of 40 minutes.",Theatrical Contracts,Short Project (SPA),https://www.sagaftra.org/production-center/contract/886/getting-started
Student Film Agreement,https://www.sagaftra.org/sites/default/files/studentfilmagreement_1_11_0_0.pdf,"This is the agreement for a student enrolled in an accredited school for films under 35 minutes and under $35,000 in budget.",Theatrical Contracts,Student Film,https://www.sagaftra.org/production-center/contract/817/getting-started
Micro-Budget Project Agreement,https://www.sagaftra.org/sites/default/files/2020_Micro-Budget_Project_%20AgreementWatermark.pdf,Sample PDF,Theatrical Contracts,Micro-Budget Projects,https://www.sagaftra.org/production-center/contract/968/getting-started
2017 New Media Agreement for Dramatic Programs (Deferrable),https://www.sagaftra.org/sites/default/files/2017_new_media_agreement_for_dramatic_programs_sample.pdf,"This is the agreement for independent producers creating new media content under $50,000.",New Media Contracts,New Media (Deferrable),https://www.sagaftra.org/production-center/contract/805/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,Informational / Guide PDF,New Media Contracts,New Media (Deferrable),https://www.sagaftra.org/production-center/contract/805/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,Informational / Guide PDF,New Media Contracts,Special New Media,https://www.sagaftra.org/production-center/contract/908/getting-started
Moderate Low Budget Project Agreement (MPA),https://www.sagaftra.org/sites/default/files/Moderate%20Low%20Budget%20Project%20Agreement%20%28MPA%29%20Rev.%202.21.23%20SAMPLE.pdf,"This is the agreement for independent producers making films under $700,000.",New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement,New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,,New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement.,New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.",New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,This is the form a producer signs to produce under the 2020 Codified Basic Agreement,New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
Ultra Low Budget Project Agreement (UPA),https://www.sagaftra.org/sites/default/files/Ultra%20Low%20Budget%20Project%20Agreement%20%28UPA%29%20Rev.%203.21.23%20SAMPLE.pdf,"This is the agreement for independent producers making films under $300,000.",New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement,New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,,New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement.,New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.",New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,This is the form a producer signs to produce under the 2020 Codified Basic Agreement,New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
Short Project Agreement (SPA),https://www.sagaftra.org/sites/default/files/Short%20Project%20Agreement%20%28SPA%29%20Rev.%202.21.23%20SAMPLE.pdf,"This is the Agreement for Short Projects shooting entirely in the US with a maximum total budget of $50,000 and a maximum total run time of 40 minutes.",New Media Contracts,Short Project (SPA),https://www.sagaftra.org/production-center/contract/885/getting-started
Micro-Budget Project Agreement,https://www.sagaftra.org/sites/default/files/2020_Micro-Budget_Project_%20AgreementWatermark.pdf,Sample PDF,New Media Contracts,Micro-Budget Projects,https://www.sagaftra.org/production-center/contract/967/getting-started
