agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path
Commercial Safety Protocols,https://www.sagaftra.org/files/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf,As of 4/16/21,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.md
COVID-19 Protocols for In-Person Commercial Auditions,https://www.sagaftra.org/files/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf,Effective 9/9/2021,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/COVID-19ProtocolsforLiveCommercialCastingSessions.md
2022 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.md
Dynamic Audio Waiver,https://www.sagaftra.org/files/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf,"This waiver is applicable to dynamic audio commercials only. Dynamic audio advertising utilizes digital technology to create customized, audio-only ads, with elements of a commercial “dynamically” changed at the time of delivery to reflect the listener’s specific circumstances, such as location, weather or time of day.",Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Dynamic%20Audio%20Waiver%20FINAL.md
Dynamic A.I. Audio Commercials Waiver,https://www.sagaftra.org/files/sa_documents/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.md
2022 SAG-AFTRA Jingle Agreement,https://www.sagaftra.org/files/sa_documents/2022%20Jingle%20Agreement%20(1).pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Jingle%20Agreement%20(1).pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Jingle%20Agreement%20(1).md
2016 Audio Commercials Contract E-Book,https://www.sagaftra.org/files/sa_documents/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf,2016 SAG-AFTRA Commercials Contract in electronic format for Internet,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2016%20sagaftra_audio_commercial_cntrct_ebook.md
2019 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/sa_documents/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf,Effective 4/1/2019 - 3/31/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.md
2022 Corporate Educational and Non-Broadcast Contract Ebook,https://www.sagaftra.org/sites/default/files/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.md
12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement,https://www.sagaftra.org/sites/default/files/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf,,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.md
