category,category_url,agreement_title,agreement_url
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2019 Infomercial Agreement,https://www.sagaftra.org/files/SAG-AFTRA_Infomercial_Agreement.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,JPC & SAG-AFTRA Covid Modifications,https://www.sagaftra.org/files/sa_documents/Update%20on%20trigger%20escalation%20%282%29.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Termination of the COVID-19 Commercial Production Safety and Testing Protocol Agreement,https://www.sagaftra.org/files/sa_documents/Notice%20of%20End%20of%20Commercial%20COVID%20Protocols%202023.docx_.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Extension to the COVID-19 Commercial Production Safety and Testing  Protocol Agreement,https://www.sagaftra.org/files/sa_documents/12.21.22%20Safety%20Protocol%20extension%20(1).pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Amended COVID‐19 Commercial Production Safety and Testing Protocols,https://www.sagaftra.org/files/September%201%2C%202022%20COVID%20Protocols.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Commercial Safety Protocols,https://www.sagaftra.org/files/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,COVID-19 Protocols for In-Person Commercial Auditions,https://www.sagaftra.org/files/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2022 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Dynamic Audio Waiver,https://www.sagaftra.org/files/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Dynamic A.I. Audio Commercials Waiver,https://www.sagaftra.org/files/sa_documents/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2022 SAG-AFTRA Jingle Agreement,https://www.sagaftra.org/files/sa_documents/2022%20Jingle%20Agreement%20(1).pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2016 Audio Commercials Contract E-Book,https://www.sagaftra.org/files/sa_documents/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2019 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/sa_documents/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2022 Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/sites/default/files/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2023 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/sites/default/files/Low%20Budget%20Digital%20Waiver%202023%20Bulletin%28170671524.2%29%20%282%29%20%281%29.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2022 National Cable Waiver,https://www.sagaftra.org/sites/default/files/2023%20Cable%20Sideletter%28170654769.1%29%20%283%29.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver,https://www.sagaftra.org/sites/default/files/2020LowBudgetDigitalWaiver.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,Diginet Waiver,https://www.sagaftra.org/sites/default/files/DiginetsWaiver_11.2021.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2016 Commercials Contract E-Book,https://www.sagaftra.org/sites/default/files/sagaftra_commercial_cntrct_ebook.pdf
Commercials,https://www.sagaftra.org/production-center/contract/802/getting-started,2022 Influencer-Produced Sponsored Content Waiver,https://www.sagaftra.org/sites/default/files/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Corporate Educational and Non-Broadcast Contract Ebook,https://www.sagaftra.org/sites/default/files/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf
